"Date","discharge","water level"
"1970-06-01",0,
"1970-06-09",6.18,
"1970-06-13",8.71,
"1970-06-14",10.75,
"1970-06-15",11.01,
"1970-06-16",13.15,
"1970-06-17",12.11,
"1970-06-18",12.76,
"1970-06-19",12.52,
"1970-06-22",14.36,
"1970-06-23",13.13,
"1970-06-24",14.99,
"1970-06-25",15.31,
"1970-06-26",15.97,
"1970-06-29",15.2,
"1970-06-30",14.36,
"1970-07-01",14.47,
"1970-07-02",16.46,
"1970-07-03",15.05,
"1970-07-06",13.51,
"1970-07-07",14.73,
"1970-07-08",15.17,
"1970-07-09",14.18,
"1970-07-10",14.86,
"1970-07-13",14.84,
"1970-07-20",13.62,
"1970-07-21",13.71,
"1970-07-22",13.21,
"1970-07-23",13.75,
"1970-07-24",12.49,
"1970-07-27",12.46,
"1970-07-28",12.44,
"1970-07-29",12.43,
"1970-07-30",12.42,
"1970-07-31",11.3,
"1970-08-03",11.76,
"1970-08-04",12.09,
"1970-08-05",11.75,
"1970-08-06",11.85,
"1970-08-07",11.83,
"1970-08-10",11.13,
"1970-08-11",11.51,
"1970-08-12",10.92,
"1970-08-17",10.47,
"1970-08-18",9.62,
"1970-08-19",9.56,
"1970-08-20",9.48,
"1970-08-21",9.84,
"1970-08-24",9.34,
"1970-08-25",8.93,
"1970-08-26",7.78,
"1970-08-28",8.71,
"1970-08-31",8.411,
"1970-09-01",8.3,
"1970-09-02",8.06,
"1970-09-03",7.62,
"1970-09-04",6.82,
"1970-09-07",6.95,
"1970-09-08",7.03,
"1970-09-09",6.71,
"1970-09-10",6.39,
"1970-09-11",5.49,
"1970-09-14",5.67,
"1970-09-15",5.72,
"1970-09-16",4.08,
"1970-09-17",4.06,
"1970-09-18",4.08,
"1970-09-21",3.4,
"1970-09-24",3.4,
"1970-09-25",3.28,
"1970-09-29",3.56,
"1970-10-02",3.08,1.4
"1970-10-05",2.74,1.39
"1970-10-06",2.64,1.37
"1970-10-07",2.6,1.36
"1970-10-08",2.43,1.35
"1970-10-09",2.56,1.33
"1970-10-12",2.06,1.3
"1970-10-20",,1.18
"1971-07-20",2.95,
"1971-10-05",,1.14
"1971-10-27",,0.77
"1971-11-15",,0.57
"1974-04-25",,
"1974-05-01",2.02,3.76
"1974-05-09",4.07,3.81
"1974-05-16",3.34,
"1974-05-22",3.38,
"1974-05-23",,3.8
"1974-05-29",,3.79
"1974-06-03",,3.78
"1974-06-06",2.911,
"1974-06-08",,3.77
"1974-06-11",,3.76
"1974-06-13",,3.75
"1974-06-14",,3.74
"1974-06-16",,3.73
"1974-06-20",,3.72
"1974-06-21",1.826,
"1974-06-24",,3.71
"1974-06-27",,3.7
"1974-07-01",,3.69
"1974-07-03",,3.68
"1974-07-06",,3.67
"1974-07-11",,3.66
"1974-07-15",,3.65
"1974-07-19",1.843,3.64
"1974-07-20",,3.66
"1974-07-23",,3.65
"1974-07-25",,3.64
"1974-07-26",1.43,
"1974-07-27",,3.63
"1974-08-04",,3.64
"1974-08-06",,3.65
"1974-08-08",,3.66
"1974-08-09",1.79,3.67
"1974-08-12",,3.68
"1974-08-14",,3.69
"1974-08-16",,3.7
"1974-08-17",,3.71
"1974-08-18",,3.72
"1974-08-19",,3.73
"1974-08-21",,3.74
"1974-08-22",,3.75
"1974-08-23",2.833,
"1974-08-24",,3.76
"1974-08-26",,3.77
