Date,discharge,water level
1970-06-30,25.27,
1970-07-31,37.13,
1970-08-31,27.5,
1970-09-30,13.26,
1970-10-31,6.18,1.26
1970-11-30,5.62,1.18
1970-12-31,6.07,1.17
1971-01-31,6.33,1.17
1971-02-28,5.95,1.17
1971-03-31,6.83,1.16
1971-04-30,6.86,1.16
1971-05-31,7.35,1.16
1971-06-30,7.36,1.15
1971-07-31,7.84,1.15
1971-08-31,7.83,1.15
1971-09-30,7.51,1.14
1971-10-31,7.69,0.95
1971-11-30,3.45,0.65
1971-12-31,,
1972-01-31,,
1972-02-29,,
1972-03-31,,
1972-04-30,,
1972-05-31,,
1972-06-30,,
1972-07-31,,
1972-08-31,,
1972-09-30,,
1972-10-31,,
1972-11-30,,
1972-12-31,,
1973-01-31,,
1973-02-28,,
1973-03-31,,
1973-04-30,,
1973-05-31,,
1973-06-30,,
1973-07-31,,
1973-08-31,,
1973-09-30,,
1973-10-31,,
1973-11-30,,
1973-12-31,,
1974-01-31,,
1974-02-28,,
1974-03-31,,
1974-04-30,,
1974-05-31,8.83,3.8
1974-06-30,5.99,3.74
1974-07-31,4.64,3.65
1974-08-31,6.36,3.71
1974-09-30,12.15,3.83
1974-10-31,9.37,3.83
1974-11-30,7.07,3.78
1974-12-31,4.04,3.66
1975-01-31,1.76,3.49
1975-02-28,0.96,3.44
1975-03-31,0.28,3.3
1975-04-30,0.09,3.12
1975-05-31,0.04,2.71
1975-06-30,5.4,2.69
1975-07-31,23.89,3.98
1975-08-31,26.07,4.17
1975-09-30,18.1,4.05
1975-10-31,10.26,3.91
1975-11-30,3.07,3.66
1975-12-31,1.09,3.45
1976-01-31,0.22,3.27
1976-02-29,0.11,2.96
1976-03-31,0.07,2.82
1976-04-30,0.04,2.64
1976-05-31,0.02,2.34
1976-06-30,11.04,2.06
1976-07-31,44.86,4.02
1976-08-31,44.62,4.35
1976-09-30,28.73,4.12
1976-10-31,18.66,4.04
1976-11-30,6.89,3.77
1976-12-31,2.87,3.43
1977-01-31,0.98,3.18
1977-02-28,0.53,3.19
1977-03-31,0.63,3.13
1977-04-30,0.7,3.19
1977-05-31,0.27,3.09
1977-06-30,1.38,3.22
1977-07-31,3.94,3.4
1977-08-31,7.5,3.66
1977-09-30,10.64,3.83
1977-10-31,9.35,3.87
1977-11-30,4.61,3.67
1977-12-31,3.28,3.51
1978-01-31,3.64,3.54
1978-02-28,5.72,3.85
1978-03-31,15.71,4.25
1978-04-30,22.79,4.48
1978-05-31,21.14,4.46
1978-06-30,16.13,4.39
1978-07-31,17.09,4.38
1978-08-31,32.04,4.64
1978-09-30,30.08,4.67
1978-10-31,,4.59
1978-11-30,,4.43
1978-12-31,,4.09
1979-01-31,,3.73
1979-02-28,,3.49
1979-03-31,,3.25
1979-04-30,,3.07
1979-05-31,,2.68
1979-06-30,,2.53
1979-07-31,,2.64
1979-08-31,,2.43
1979-09-30,,2.12
1979-10-31,,1.82
1979-11-30,,1.45
1979-12-31,,1.23
1980-01-31,,1.01
1980-02-29,,0.74
1980-03-31,,0.92
1980-04-30,,0.49
1980-05-31,,0.17
1980-06-30,,0.87
