,panhandle,selinda,khwai,maunachira,nqoga,thaoge,xudum,boro
1981-01-16,39.75,42.35,45.57,40.53,33.99,34.32,36.79,38.72
1981-02-14,79.48,122.81,165.6,135.92,84.91,56.5,83.17,113.31
1981-03-16,29.86,34.08,50.6,29.26,24.21,29.97,43.45,47.52
1981-04-15,6.97,6.57,5.89,6.25,6.75,6.03,5.56,5.64
1981-05-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-06-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-07-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-08-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-09-15,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
1981-10-16,11.32,12.4,12.68,18.32,14.72,14.88,14.75,13.0
1981-11-15,74.47,86.81,52.75,73.24,78.79,51.48,47.36,47.61
1981-12-16,31.06,33.07,31.68,29.55,27.78,31.33,32.7,29.5
1982-01-16,64.69,54.95,44.5,51.46,53.53,44.46,38.53,35.89
1982-02-14,82.45,81.13,77.45,94.82,94.76,88.52,76.9,79.6
1982-03-16,35.02,24.04,24.71,18.06,15.95,24.55,18.13,15.03
1982-04-15,30.5,30.28,14.77,20.44,25.89,29.71,19.14,14.59
1982-05-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982-06-15,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
1982-07-16,0.08,0.15,0.07,0.22,0.27,0.2,0.08,0.09
1982-08-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982-09-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982-10-16,40.42,63.55,76.01,101.77,70.05,43.16,65.05,74.74
1982-11-15,72.61,74.89,68.36,69.16,71.56,66.96,78.63,78.8
1982-12-16,72.69,83.65,63.0,59.25,60.01,62.91,61.91,54.09
1983-01-16,108.78,105.49,101.17,95.15,89.97,79.75,83.33,86.16
1983-02-14,54.2,46.3,51.58,51.79,40.56,37.86,43.28,43.38
1983-03-16,44.27,47.82,36.42,26.17,34.6,42.83,36.13,25.18
1983-04-15,14.89,22.21,23.7,22.61,16.35,10.6,13.01,16.51
1983-05-16,0.0,0.96,0.72,0.0,0.0,1.23,0.95,1.96
1983-06-15,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0
1983-07-16,0.0,0.04,0.0,0.08,0.03,0.0,0.01,0.04
1983-08-16,0.0,0.0,0.04,0.0,0.0,0.0,0.04,0.06
1983-09-15,0.37,0.33,0.0,0.21,0.0,0.08,0.11,0.08
1983-10-16,26.56,26.44,20.35,35.99,34.4,20.62,23.14,24.84
1983-11-15,55.48,70.89,64.77,70.39,61.88,52.59,56.58,59.09
1983-12-16,185.69,192.97,157.13,154.73,161.1,158.14,135.73,128.94
1984-01-16,31.62,34.48,46.75,37.52,26.5,24.49,23.07,26.74
1984-02-15,83.37,97.73,95.44,125.93,96.4,66.84,84.01,93.37
1984-03-16,87.88,93.28,79.97,62.63,65.69,69.71,69.12,72.44
1984-04-15,15.65,13.13,10.33,11.71,13.01,11.39,10.52,10.23
1984-05-16,0.57,0.46,1.05,1.24,1.11,1.14,0.54,0.68
1984-06-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984-07-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984-08-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
